nflweek,rotat,date,kickoff,side,opp,awayhome,,,,,
6,49ers6,10/12/2025,1:00 PM,49ers,Buccaneers,away,,,,,
6,Titans6,10/12/2025,4:05 PM,Titans,Raiders,away,,,,,
6,Bengals6,10/12/2025,4:25 PM,Bengals,Packers,away,,,,,
6,Patriots6,10/12/2025,4:25 PM,Patriots,Saints,away,,,,,
6,Lions6,10/12/2025,8:20 PM,Lions,Chiefs,away,,,,,
6,Bills6,10/13/2025,7:15 PM,Bills,Falcons,away,,,,,
6,Bears6,10/13/2025,8:15 PM,Bears,Commanders,away,,,,,
7,Steelers7,10/16/2025,8:15 PM,Steelers,Bengals,away,,,,,
7,Rams7,10/19/2025,9:30 AM,Rams,Jaguars,away,,,,,
7,Saints7,10/19/2025,1:00 PM,Saints,Bears,away,,,,,
7,Dolphins7,10/19/2025,1:00 PM,Dolphins,Browns,away,,,,,
7,Raiders7,10/19/2025,1:00 PM,Raiders,Chiefs,away,,,,,
7,Eagles7,10/19/2025,1:00 PM,Eagles,Vikings,away,,,,,
7,Panthers7,10/19/2025,1:00 PM,Panthers,Jets,away,,,,,
7,Patriots7,10/19/2025,1:00 PM,Patriots,Titans,away,,,,,
7,Giants7,10/19/2025,4:05 PM,Giants,Broncos,away,,,,,
7,Colts7,10/19/2025,4:05 PM,Colts,Chargers,away,,,,,
7,Packers7,10/19/2025,4:25 PM,Packers,Cardinals,away,,,,,
7,Commanders7,10/19/2025,4:25 PM,Commanders,Cowboys,away,,,,,
7,Falcons7,10/19/2025,8:20 PM,Falcons,49ers,away,,,,,
7,Buccaneers7,10/20/2025,7:00 PM,Buccaneers,Lions,away,,,,,
7,Texans7,10/20/2025,10:00 PM,Texans,Seahawks,away,,,,,
8,Vikings8,10/23/2025,8:15 PM,Vikings,Chargers,away,,,,,
8,Dolphins8,10/26/2025,1:00 PM,Dolphins,Falcons,away,,,,,
8,Bears8,10/26/2025,1:00 PM,Bears,Ravens,away,,,,,
8,Bills8,10/26/2025,1:00 PM,Bills,Panthers,away,,,,,
8,Jets8,10/26/2025,1:00 PM,Jets,Bengals,away,,,,,
8,49ers8,10/26/2025,1:00 PM,49ers,Texans,away,,,,,
8,Browns8,10/26/2025,1:00 PM,Browns,Patriots,away,,,,,
8,Giants8,10/26/2025,1:00 PM,Giants,Eagles,away,,,,,
8,Buccaneers8,10/26/2025,4:05 PM,Buccaneers,Saints,away,,,,,
8,Cowboys8,10/26/2025,4:25 PM,Cowboys,Broncos,away,,,,,
8,Titans8,10/26/2025,4:25 PM,Titans,Colts,away,,,,,
8,Packers8,10/26/2025,8:20 PM,Packers,Steelers,away,,,,,
8,Commanders8,10/27/2025,8:15 PM,Commanders,Chiefs,away,,,,,
9,Ravens9,10/30/2025,8:15 PM,Ravens,Dolphins,away,,,,,
9,Bears9,11/2/2025,1:00 PM,Bears,Bengals,away,,,,,
9,Vikings9,11/2/2025,1:00 PM,Vikings,Lions,away,,,,,
9,Panthers9,11/2/2025,1:00 PM,Panthers,Packers,away,,,,,
9,Broncos9,11/2/2025,1:00 PM,Broncos,Texans,away,,,,,
9,Falcons9,11/2/2025,1:00 PM,Falcons,Patriots,away,,,,,
9,49ers9,11/2/2025,1:00 PM,49ers,Giants,away,,,,,
9,Colts9,11/2/2025,1:00 PM,Colts,Steelers,away,,,,,
9,Chargers9,11/2/2025,1:00 PM,Chargers,Titans,away,,,,,
9,Saints9,11/2/2025,4:05 PM,Saints,Rams,away,,,,,
9,Jaguars9,11/2/2025,4:05 PM,Jaguars,Raiders,away,,,,,
9,Chiefs9,11/2/2025,4:25 PM,Chiefs,Bills,away,,,,,
9,Seahawks9,11/2/2025,8:20 PM,Seahawks,Commanders,away,,,,,
9,Cardinals9,11/3/2025,8:15 PM,Cardinals,Cowboys,away,,,,,
10,Raiders10,11/6/2025,8:15 PM,Raiders,Broncos,away,,,,,
10,Falcons10,11/9/2025,9:30 AM,Falcons,Colts,away,,,,,
10,Saints10,11/9/2025,1:00 PM,Saints,Panthers,away,,,,,
10,Giants10,11/9/2025,1:00 PM,Giants,Bears,away,,,,,
10,Jaguars10,11/9/2025,1:00 PM,Jaguars,Texans,away,,,,,
10,Bills10,11/9/2025,1:00 PM,Bills,Dolphins,away,,,,,
10,Ravens10,11/9/2025,1:00 PM,Ravens,Vikings,away,,,,,
10,Browns10,11/9/2025,1:00 PM,Browns,Jets,away,,,,,
10,Patriots10,11/9/2025,1:00 PM,Patriots,Buccaneers,away,,,,,
10,Cardinals10,11/9/2025,4:05 PM,Cardinals,Seahawks,away,,,,,
10,Rams10,11/9/2025,4:25 PM,Rams,49ers,away,,,,,
10,Lions10,11/9/2025,4:25 PM,Lions,Commanders,away,,,,,
10,Steelers10,11/9/2025,8:20 PM,Steelers,Chargers,away,,,,,
10,Eagles10,11/10/2025,8:15 PM,Eagles,Packers,away,,,,,
11,Jets11,11/13/2025,8:15 PM,Jets,Patriots,away,,,,,
11,Commanders11,11/16/2025,9:30 AM,Commanders,Dolphins,away,,,,,
11,Panthers11,11/16/2025,1:00 PM,Panthers,Falcons,away,,,,,
11,Buccaneers11,11/16/2025,1:00 PM,Buccaneers,Bills,away,,,,,
11,Chargers11,11/16/2025,1:00 PM,Chargers,Jaguars,away,,,,,
11,Bears11,11/16/2025,1:00 PM,Bears,Vikings,away,,,,,
11,Packers11,11/16/2025,1:00 PM,Packers,Giants,away,,,,,
11,Bengals11,11/16/2025,1:00 PM,Bengals,Steelers,away,,,,,
11,Texans11,11/16/2025,1:00 PM,Texans,Titans,away,,,,,
11,49ers11,11/16/2025,4:05 PM,49ers,Cardinals,away,,,,,
11,Seahawks11,11/16/2025,4:05 PM,Seahawks,Rams,away,,,,,
11,Ravens11,11/16/2025,4:25 PM,Ravens,Browns,away,,,,,
11,Chiefs11,11/16/2025,4:25 PM,Chiefs,Broncos,away,,,,,
11,Lions11,11/16/2025,8:20 PM,Lions,Eagles,away,,,,,
11,Cowboys11,11/17/2025,8:15 PM,Cowboys,Raiders,away,,,,,
12,Bills12,11/20/2025,8:15 PM,Bills,Texans,away,,,,,
12,Jets12,11/23/2025,1:00 PM,Jets,Ravens,away,,,,,
12,Steelers12,11/23/2025,1:00 PM,Steelers,Bears,away,,,,,
12,Patriots12,11/23/2025,1:00 PM,Patriots,Bengals,away,,,,,
12,Giants12,11/23/2025,1:00 PM,Giants,Lions,away,,,,,
12,Vikings12,11/23/2025,1:00 PM,Vikings,Packers,away,,,,,
12,Colts12,11/23/2025,1:00 PM,Colts,Chiefs,away,,,,,
12,Seahawks12,11/23/2025,1:00 PM,Seahawks,Titans,away,,,,,
12,Jaguars12,11/23/2025,4:05 PM,Jaguars,Cardinals,away,,,,,
12,Browns12,11/23/2025,4:05 PM,Browns,Raiders,away,,,,,
12,Eagles12,11/23/2025,4:25 PM,Eagles,Cowboys,away,,,,,
12,Falcons12,11/23/2025,4:25 PM,Falcons,Saints,away,,,,,
12,Buccaneers12,11/23/2025,8:20 PM,Buccaneers,Rams,away,,,,,
12,Panthers12,11/24/2025,8:15 PM,Panthers,49ers,away,,,,,
13,Packers13,11/27/2025,1:00 PM,Packers,Lions,away,,,,,
13,Chiefs13,11/27/2025,4:30 PM,Chiefs,Cowboys,away,,,,,
13,Bengals13,11/27/2025,8:20 PM,Bengals,Ravens,away,,,,,
13,Bears13,11/28/2025,3:00 PM,Bears,Eagles,away,,,,,
13,Rams13,11/30/2025,1:00 PM,Rams,Panthers,away,,,,,
13,49ers13,11/30/2025,1:00 PM,49ers,Browns,away,,,,,
13,Texans13,11/30/2025,1:00 PM,Texans,Colts,away,,,,,
13,Saints13,11/30/2025,1:00 PM,Saints,Dolphins,away,,,,,
13,Falcons13,11/30/2025,1:00 PM,Falcons,Jets,away,,,,,
13,Cardinals13,11/30/2025,1:00 PM,Cardinals,Buccaneers,away,,,,,
13,Jaguars13,11/30/2025,1:00 PM,Jaguars,Titans,away,,,,,
13,Vikings13,11/30/2025,4:05 PM,Vikings,Seahawks,away,,,,,
13,Raiders13,11/30/2025,4:25 PM,Raiders,Chargers,away,,,,,
13,Bills13,11/30/2025,4:25 PM,Bills,Steelers,away,,,,,
13,Broncos13,11/30/2025,8:20 PM,Broncos,Commanders,away,,,,,
13,Giants13,12/1/2025,8:15 PM,Giants,Patriots,away,,,,,
14,Cowboys14,12/4/2025,8:15 PM,Cowboys,Lions,away,,,,,
14,Seahawks14,12/7/2025,1:00 PM,Seahawks,Falcons,away,,,,,
14,Steelers14,12/7/2025,1:00 PM,Steelers,Ravens,away,,,,,
14,Titans14,12/7/2025,1:00 PM,Titans,Browns,away,,,,,
14,Bears14,12/7/2025,1:00 PM,Bears,Packers,away,,,,,
14,Colts14,12/7/2025,1:00 PM,Colts,Jaguars,away,,,,,
14,Commanders14,12/7/2025,1:00 PM,Commanders,Vikings,away,,,,,
14,Dolphins14,12/7/2025,1:00 PM,Dolphins,Jets,away,,,,,
14,Saints14,12/7/2025,1:00 PM,Saints,Buccaneers,away,,,,,
14,Broncos14,12/7/2025,4:05 PM,Broncos,Raiders,away,,,,,
14,Rams14,12/7/2025,4:25 PM,Rams,Cardinals,away,,,,,
14,Bengals14,12/7/2025,4:25 PM,Bengals,Bills,away,,,,,
14,Texans14,12/7/2025,8:20 PM,Texans,Chiefs,away,,,,,
14,Eagles14,12/8/2025,8:15 PM,Eagles,Chargers,away,,,,,
15,Falcons15,12/11/2025,8:15 PM,Falcons,Buccaneers,away,,,,,
15,Browns15,12/14/2025,1:00 PM,Browns,Bears,away,,,,,
15,Ravens15,12/14/2025,1:00 PM,Ravens,Bengals,away,,,,,
15,Cardinals15,12/14/2025,1:00 PM,Cardinals,Texans,away,,,,,
15,Jets15,12/14/2025,1:00 PM,Jets,Jaguars,away,,,,,
15,Chargers15,12/14/2025,1:00 PM,Chargers,Chiefs,away,,,,,
15,Bills15,12/14/2025,1:00 PM,Bills,Patriots,away,,,,,
15,Commanders15,12/14/2025,1:00 PM,Commanders,Giants,away,,,,,
15,Raiders15,12/14/2025,1:00 PM,Raiders,Eagles,away,,,,,
15,Packers15,12/14/2025,4:25 PM,Packers,Broncos,away,,,,,
15,Lions15,12/14/2025,4:25 PM,Lions,Rams,away,,,,,
15,Panthers15,12/14/2025,4:25 PM,Panthers,Saints,away,,,,,
15,Colts15,12/14/2025,4:25 PM,Colts,Seahawks,away,,,,,
15,Titans15,12/14/2025,4:25 PM,Titans,49ers,away,,,,,
15,Vikings15,12/14/2025,8:20 PM,Vikings,Cowboys,away,,,,,
15,Dolphins15,12/15/2025,8:15 PM,Dolphins,Steelers,away,,,,,
16,Rams16,12/18/2025,8:15 PM,Rams,Seahawks,away,,,,,
16,Patriots16,12/21/2025,1:00 PM,Patriots,Ravens,away,,,,,
16,Buccaneers16,12/21/2025,1:00 PM,Buccaneers,Panthers,away,,,,,
16,Bills16,12/21/2025,1:00 PM,Bills,Browns,away,,,,,
16,Chargers16,12/21/2025,1:00 PM,Chargers,Cowboys,away,,,,,
16,Jets16,12/21/2025,1:00 PM,Jets,Saints,away,,,,,
16,Vikings16,12/21/2025,1:00 PM,Vikings,Giants,away,,,,,
16,Chiefs16,12/21/2025,1:00 PM,Chiefs,Titans,away,,,,,
16,Falcons16,12/21/2025,4:05 PM,Falcons,Cardinals,away,,,,,
16,Jaguars16,12/21/2025,4:05 PM,Jaguars,Broncos,away,,,,,
16,Steelers16,12/21/2025,4:25 PM,Steelers,Lions,away,,,,,
16,Raiders16,12/21/2025,4:25 PM,Raiders,Texans,away,,,,,
16,Packers16,12/21/2025,7:00 PM,Packers,Bears,away,,,,,
16,Eagles16,12/21/2025,7:00 PM,Eagles,Commanders,away,,,,,
16,Bengals16,12/21/2025,8:20 PM,Bengals,Dolphins,away,,,,,
16,49ers16,12/22/2025,8:15 PM,49ers,Colts,away,,,,,
17,Cowboys17,12/25/2025,1:00 PM,Cowboys,Commanders,away,,,,,
17,Lions17,12/25/2025,4:30 PM,Lions,Vikings,away,,,,,
17,Broncos17,12/25/2025,8:15 PM,Broncos,Chiefs,away,,,,,
17,Steelers17,12/28/2025,1:00 PM,Steelers,Browns,away,,,,,
17,Jaguars17,12/28/2025,1:00 PM,Jaguars,Colts,away,,,,,
17,Buccaneers17,12/28/2025,1:00 PM,Buccaneers,Dolphins,away,,,,,
17,Patriots17,12/28/2025,1:00 PM,Patriots,Jets,away,,,,,
17,Saints17,12/28/2025,1:00 PM,Saints,Titans,away,,,,,
17,Eagles17,12/28/2025,4:25 PM,Eagles,Bills,away,,,,,
17,Bears17,12/28/2025,8:20 PM,Bears,49ers,away,,,,,
17,Seahawks17,12/29/2025,7:00 PM,Seahawks,Panthers,away,,,,,
17,Cardinals17,12/29/2025,7:00 PM,Cardinals,Bengals,away,,,,,
17,Ravens17,12/29/2025,7:00 PM,Ravens,Packers,away,,,,,
17,Texans17,12/29/2025,7:00 PM,Texans,Chargers,away,,,,,
17,Giants17,12/29/2025,7:00 PM,Giants,Raiders,away,,,,,
17,Rams17,12/29/2025,8:15 PM,Rams,Falcons,away,,,,,
18,Saints18,1/4/2026,7:00 PM,Saints,Falcons,away,,,,,
18,Jets18,1/4/2026,7:00 PM,Jets,Bills,away,,,,,
18,Lions18,1/4/2026,7:00 PM,Lions,Bears,away,,,,,
18,Browns18,1/4/2026,7:00 PM,Browns,Bengals,away,,,,,
18,Chargers18,1/4/2026,7:00 PM,Chargers,Broncos,away,,,,,
18,Colts18,1/4/2026,7:00 PM,Colts,Texans,away,,,,,
18,Titans18,1/4/2026,7:00 PM,Titans,Jaguars,away,,,,,
18,Cardinals18,1/4/2026,7:00 PM,Cardinals,Rams,away,,,,,
18,Chiefs18,1/4/2026,7:00 PM,Chiefs,Raiders,away,,,,,
18,Packers18,1/4/2026,7:00 PM,Packers,Vikings,away,,,,,
18,Dolphins18,1/4/2026,7:00 PM,Dolphins,Patriots,away,,,,,
18,Cowboys18,1/4/2026,7:00 PM,Cowboys,Giants,away,,,,,
18,Commanders18,1/4/2026,7:00 PM,Commanders,Eagles,away,,,,,
18,Ravens18,1/4/2026,7:00 PM,Ravens,Steelers,away,,,,,
18,Seahawks18,1/4/2026,7:00 PM,Seahawks,49ers,away,,,,,
18,Panthers18,1/4/2026,7:00 PM,Panthers,Buccaneers,away,,,,,
